eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
100,2009,7,24,2,41,0,-731670,68560,156,2.8,2.8
101,2009,7,29,20,0,0,-729740,67780,164,2.8,2.8
102,2009,8,14,8,24,0,-730080,68840,151,2.3,2.3
103,2009,8,26,7,52,0,-731170,68150,160,2.2,2.2
104,2009,8,28,4,30,0,-731560,68010,166,3.2,3.2
105,2009,8,30,5,58,0,-730340,68580,152,2.2,2.2
106,2009,8,30,6,29,0,-732310,66970,145,2.3,2.3
107,2009,8,30,6,40,0,-729970,69200,150,2.8,2.8
108,2009,9,12,22,21,0,-732040,68240,129,2.2,2.2
109,2009,9,14,10,49,0,-731150,67550,153,2.3,2.3
110,2009,9,15,1,1,0,-732240,67780,173,2.4,2.4
111,2009,10,15,6,7,0,-730770,67870,168,2.4,2.4
112,2009,10,16,11,54,0,-730340,67600,147,2.8,2.8
113,2009,10,19,10,8,0,-729840,67810,153,2.4,2.4
114,2009,11,6,0,41,0,-729810,66910,178,2.4,2.4
115,2009,11,17,5,28,0,-730210,68090,154,2,2
116,2009,11,26,19,15,0,-729540,68830,143,2.5,2.5
117,2009,11,26,21,16,0,-732310,67860,7,2.3,2.3
118,2009,12,3,7,49,0,-731030,68760,165,2.5,2.5
119,2009,12,27,21,25,0,-731320,68030,151,2.3,2.3
120,2010,1,20,4,9,0,-730540,67450,153,2.4,2.4
121,2010,1,30,15,35,0,-730770,68190,174,2.3,2.3
122,2010,2,7,3,31,0,-730980,69270,173,2.6,2.6
123,2010,2,8,7,10,0,-730970,68030,168,2.2,2.2
124,2010,2,11,5,58,0,-730740,68020,166,2.4,2.4
125,2010,2,23,13,25,0,-730830,66510,144,2.6,2.6
126,2010,2,28,14,58,0,-732070,69200,165,2.4,2.4
127,2010,3,1,0,48,0,-729710,68010,168,2.4,2.4
128,2010,3,7,23,14,0,-732000,67320,165,2.2,2.2
129,2010,3,12,3,43,0,-729730,66930,164,2.3,2.3
130,2010,3,15,10,16,0,-731250,66670,165,2.4,2.4
131,2010,3,17,5,24,0,-731060,67620,168,2.4,2.4
132,2010,3,19,2,14,0,-731140,68290,165,2.4,2.4
133,2010,3,27,0,49,0,-731180,67600,162,2.4,2.4
134,2010,4,4,1,53,0,-731620,68020,167,2.2,2.2
135,2010,4,5,4,31,0,-730920,67620,168,2.4,2.4
136,2010,4,6,10,46,0,-731810,66970,170,2,2
137,2010,4,6,10,42,0,-730680,66740,162,2.3,2.3
